번호,외래어,원어,순화어
18162,보디프로필/*바디프로필,Body Profile,몸매 인증 사진
18161,포토프레스,photopress←photo+express,"사진 인증, 인생 사진"
18160,어그로,aggro,억지 주목
18159,업셀링,upselling,상위 상품 판매
18158,크로스셀링,cross selling,연관 판매
18157,혈당 스파이크,血糖 spike,혈당 급상승
18156,푸드 마일리지,food mileage,식재료 이동 거리
18155,업스킬링,upskilling,역량 강화
18154,리스킬링,reskilling,직무 전환 교육
18153,리빌딩,rebuilding,재정비
18152,블랙 라벨,black label,최상급
18151,빌런,villain,악당
18150,멀티 제너레이션,Multi Generation,여러 세대
18149,크로스 체크,cross-check,교차 검증
18148,파이어족,"FIRE族, FIRE: Financial Independence, Retire Early",조기 자립 은퇴족
18147,레터 피싱,letter phishing,우편물 빙자 사기
18146,서브컬처,subculture,비주류문화
18145,멀티모달,multimodal ←multi+modality,다중 양식
18144,스마트 톨링,smart tolling,자동 요금 징수
18143,스마트 오피스,smart office,첨단 정보형 사무실
18142,스마트 팩토리,smart factory,첨단 자동 공장
18141,밸류업,value up,가치 향상
18140,핀플루언서,finfluencer←finance+influencer,금융 여론 형성자
18139,풀필먼트,fulfillment,물류 종합 대행
18138,패스트 패션,fast fashion,빠른 소비 패션
18137,플러팅,flirting,호감 표시
18136,그린 프리미엄,green premium,친환경 추가비
18135,온 디바이스 에이아이,On-device AI,단말형 인공지능
18134,마더 팩토리,mother factory,핵심 공장
18133,퀵서비스,quick service,빠른 배달
18132,퀵 커머스,quick commerce,빠른 배달 거래
18131,밀크플레이션,milkflation←milk+inflation,"우유발 물가 상승, 유제품 줄인상"
18130,번들플레이션,bundleflation←bundle+inflation,묶음 눈속임
18129,스킴플레이션,skimpflation←skimp+inflation,"질 낮춤, 품질 꼼수"
18128,슈링크플레이션,shrinkflation←shrink+inflation,"양 줄임, 용량 꼼수"
18127,뷰티 테크,beauty tech,첨단 미용 기술
18126,"디프 테크, 딥 테크*",deep tech,심층 기술
18125,버추얼 휴먼,virtual human,가상 인간
18124,앵커 산업,anchor 産業,"주요 산업, 핵심 자족 산업"
18123,셸터,shelter,"피신처, 대피소, 쉼터"
18122,그린 카드,green card,친환경 카드
18121,호스피탈리티,hospitality,손님맞이
18120,애니멀 테라피,animal therapy,동물 도움 치료
18119,프렌드쇼어링,friendshoring,우호국 이전
18118,니어쇼어링,nearshoring,인접국 이전
18117,매치 메이킹,match making,상대 결정
18116,애그테크,agtech←agriculture+technology,첨단 농업 기술
18115,제너럴리스트,generalist,다방면 인재
18114,큐싱,Qshing ←QR code phishing,큐알 사기
18113,킬러 아이템,killer item,핵심 상품
18112,테크니컬 투어,technical tour,산업 현장 탐방
18111,뷰잉 파티,viewing party,단체 시청 행사
18110,생크추어리,sanctuary,동물 보호 구역
18109,리드 타임,lead time,납품 소요 시간
18108,메가스테이션,megastation,복합 충전 시설
18107,패시브 인컴,passive income,노동 외 소득
18106,트래블 테크,travel tech,여행 정보 기술
18105,프리 플로팅,free floating,자유 주차 방식
18104,제로 트러스트,zero trust,철통 인증
18103,긱 이코노미,gig economy,일시 고용 경제
18102,제론테크놀로지,gerontechnology,고령 친화 기술
18101,메디 푸드,medi food,의료식
18100,리커머스,recommerce,재거래
18099,클린 하우스,clean house,쓰레기 수거장
18098,퍼스널 컬러,personal color,맞춤 색상
18097,메가 오퍼,mega offer,초고액 제안
18096,프리패브,prefab,"사전 제작, 선제작 공법"
18095,소셜 본드,social bond,사회 가치 채권
18094,필드 테스트,field test,실사용 평가
18093,베타 테스트,beta test,출시 전 시험
18092,실버 푸어,silver poor,"노년 빈곤층, 노후 빈곤층"
18091,에듀 푸어,education poor,교육 과소비층
18090,메타노믹스,metanomics←metaverse+economics,가상 세계 경제
18089,아트 테크,art tech,예술품 투자
18088,셔틀 외교,shuttle 外交,왕래 외교
18087,할루시네이션,hallucination,허위 생성
18086,비거노믹스,vegan economics,채식 산업
18085,블루 푸드,blue food,수산 식품
18084,슬로 패션,slow fashion,친환경 패션
18083,버티포트,vertiport←vertical flight+port,수직 이착륙장
18082,세이브케이션,savecation,알뜰 휴가
18081,메가 딜,mega deal,초대형 거래
18080,이지 머니,easy money,저리 자금
18079,마이크로 러닝 2,micro learning,단기 학습
18078,솔로 이코노미,solo economy,1인 가구 경제
18077,스몰 럭셔리,small luxury,소소한 사치
18076,마이크로 러닝 1,micro learning,짤막 학습
18075,오마카세,omaka[御任]se,주방 특선
18074,메타팜,metafarm← metaverse+smartfarm,가상 농장
18073,콜 포비아,call phobia,통화 기피증
18072,페이 커트,paycut,감액 계약
18071,페어링,pairing,맛조합
18070,어닝 쇼크,earning shock,실적 충격
18069,무라벨,無label,무상표
18068,웰다잉,well-dying,품위사
18067,뱅크데믹,bankdemic ←bank pandemic,은행 불신 확산
18066,멀웨어,malware,악성 프로그램
18065,욜드,YOLD ←young old,청노년
18064,콜키지 프리,corkage free,주류 반입 무료
18063,본드 런,bond run,채권 매도 사태
18062,캔슬 컬처,cancel culture,등돌림 문화
18061,머니 무브,money move,자금 이동
18060,칠링 이펙트,chilling effect,위축 효과
18059,"로크인 효과, 록인 효과*",lock in effect,자물쇠 효과
18058,그린 오션,green ocean,친환경 시장
18057,뱅크 런,bank run,인출 폭주
18056,오리지널 콘텐츠,original contents,자체 제작물
18055,피크 아웃,peak out,하락 전환
18054,아쿠아스케이프,aquascape,수생 조경
18053,헤드라이너,headliner,대표 출연자
18052,커리어 하이,career high,최고 기록
18051,멀티데믹,multi pandemic,감염병 복합 유행
18050,듀얼 라이프,dual life,두 지역살이
18049,마이크로투어리즘,microtourism,근거리 여행
18048,페이스 리프트,face lift,외관 개선
18047,디지털 트윈,digital twin,가상 모형
18046,컴플라이언스,compliance,"법규 준수, 준법 감시"
18045,스태그플레이션,stagflation,고물가 경기 침체
18044,노마드 워커,nomad worker,유목민형 노동자
18043,그루밍 성범죄,grooming 性犯罪,환심형 성범죄
18042,뉴 스페이스,new space,민간 우주 개발
18041,피팅,fitting,입어보기
18040,커트오프,cutoff,"공천 배제, 예비 경선"
18039,나와바리,nawabari[繩張],"줄치기, 구획"
18038,트래블 룰,travel rule,송금 정보 기록제
18037,네버 코비드,never COVID19,코로나 비감염
18036,자이언트 스텝,giant step,광폭 조정
18035,빅 스텝,big step,대폭 조정
18034,베이비 스텝,baby step,소폭 조정
18033,로컬 소싱,local sourcing,현지 조달
18032,메타 패션,meta fashion,가상 세계 패션
18031,도어스테핑,doorstepping,"출근길 문답, 약식 문답"
18030,에듀테크,edu tech←education+technology,교육 정보 기술
18029,빅 테크,big tech,정보 기술 대기업
18028,엔에프티,nft: non-fungible token,대체 불가 토큰
18027,페일콘,failcon,실패 공유 모임
18026,오픈 스페이스,open space,열린 쉼터
18025,엔데믹 블루,endemic blue,일상 회복 불안
18024,코듀로이,corduroy,"골진천, 골무늬 천"
18023,디제라티,digerati← digital+literati,디지털 지식인
18022,컬처 핏,culture fit,조직 문화 적합성
18021,안테나 숍,antenna shop,탐색 매장
18020,에이지리스,ageless,나이 무관
18019,로테크,low tech,단순 기술
18018,클린 뷰티,clean beauty,친환경 화장품
18017,마케터,marketer,"판매 전문가, 판촉 전문가"
18016,디렉토리북,directory book,"안내책, 안내서"
18015,언택트,untact,비대면
18014,펫 프렌들리,pet friendly,반려동물 친화
18013,영 케어러,young carer,가족 돌봄 청년
18012,큐레이션 커머스,curation commerce,소비자 맞춤 상거래
18011,플라잉 모빌리티,flying mobility,근거리 비행 수단
18010,미코노미,meconomy ←me+economy,자기중심 소비
18009,"아르피에이, 알피에이",RPA: Robotics Process Automation,업무 처리 자동화
18008,코워킹 스페이스,coworking space,공유 업무 공간
18007,세이프티 콜,safety call,작업 중지 요청
18006,제로 코로나,zero corona,고강도 방역
18005,임팩트 비즈니스,impact business,사회 가치 병행 사업
18004,디지털 네이티브,digital native,디지털 태생
18003,이에스지(ESG) 경영,"Environmental, Social and Governance 經營",환경·사회·투명 경영
18002,그린 포트폴리오,green portfolio,친환경 수익 전략
18001,리걸테크,legaltech,"법률 정보 기술, 법률 정보 기술 서비스"
18000,펫코노미,petconomy← pet+economy,반려동물 산업
17999,푸드테크,food tech,첨단 식품 기술
17998,롱 코비드,long Covid,코로나 감염 후유증
17997,비즈 매칭,biz-matching,사업자 연계
17996,벌크 업,bulk up,근육 키우기
17995,케어 푸드,care food,"돌봄식, 돌봄 음식"
17994,플러스 옵션,plus option,"추가 선택제, 추가 선택권, 추가 선택 사항"
17993,마이너스 옵션,minus option,"제외 선택제, 제외 선택권, 제외 선택 사항"
17992,홈루덴스,home ludens,집놀이족
17991,쿨링 포그,cooling fog,"안개형 냉각, 안개형 냉각수"
17990,레몬 마켓,lemon market,정보 불균형 시장
17989,리유저블 컵,reusable cup,다회용 컵
17988,포지티브 규제,positive 規制,최소 허용 규제
17987,오너 리스크,owner risk,경영주발 악재
17986,데스크테리어,deskterior,책상 꾸미기
17985,아웃링크,out link,외부 연결 (방식)
17984,인링크,in link,내부 연결 (방식)
17983,비치 코밍,beachcombing,해변 정화
17982,리셀 테크,reselltech,재판매 투자
17981,디마케팅,demarketing,수요 축소 (전략)
17980,홈코노미,homeconomy,재택 경제 활동
17979,하이퍼 로컬,hyper local,동네 생활권
17978,다크 스토어,dark store,배송 전용 매장
17977,에이징 커브,aging curve,노화 곡선
17976,"부스터 숏, 부스터 샷",booster shot,추가 접종
17975,"오너 코드, 아너 코드*",honor code,명예 규율
17974,웹 브라우저,web browser,웹 탐색기
17973,로컬 크리에이터,local creator,지역 가치 창출가
17972,잡 크래프팅,job crafting,자발적 직무 설계
17971,펫 로스 증후군,pet loss 症候群,반려동물 상실 증후군
17970,"코로나 쇼크, 코로나19 쇼크","corona shock, corona19 shock",코로나 충격
17969,워케이션,worcation,휴가지 원격 근무
17968,오픈 이노베이션,open innovation,개방형 혁신 전략
17967,푸드 리퍼브,food refurb,식자재 새활용
17966,팝업 가든,pop-up garden,반짝 정원
17965,리빙 랩,living lab,생활 실험실
17964,쇼룸,showroom,체험 전시실
17963,"콜키지, 코르크 차지","corkage, cork charge",주류 반입비
17962,웰에이징,well-aging,건강 노년맞이
17961,리클라이너,recliner,각도 조절 의자
17960,슬립 테크,sleep tech,숙면 기술
17959,슬리포노믹스,sleeponomics,"숙면 산업, 숙면 경제"
17958,실버 서퍼,silver surfer,디지털 친화 어르신
17957,펜트업 효과,pent-up 效果,수요 분출 효과
17956,인슈어테크,insurtech,보험 정보 기술
17955,펀 세이빙,fun saving,놀이형 저축
17954,고스팅,ghosting,고용 잠적
17953,캄테크,calmtech,자동 편의 기술
17952,펀슈머,funsumer,오락적 소비자
17951,포모 증후군,FOMO 症候群,소외 불안 증후군
17950,애슬레저,athleisure,일상 운동복
17949,워커밸,"worker-customer balance, worker and customer balance",주객 평등
17948,스테이케이션,staycation,근거리 휴가
17947,"메디컬 푸어, 메디 푸어","medical poor, medi poor",의료 빈곤층
17946,"크로스 미디어, 크로스 미디어 기법","cross media, cross media 技法",매체 다양화 기법
17945,코로나 블랙,corona black,코로나 절망
17944,코로나 레드,corona red,코로나 분노
17943,디지털 디톡스,digital detox,디지털 거리 두기
17942,크라우드 워커,crowd worker,대규모 참여형 노동자
17941,빈지 워칭,binge watching,몰아 보기
17940,쿠키 영상,cookie 映像,부록 영상
17939,필터 버블,filter bubble,정보 여과 현상
17938,메타버스,metaverse,"확장 가상 세계, 가상 융합 세계"
17937,디엠,DM←direct message,쪽지
17936,하중,荷重,"짐무게, 부담"
17935,젠더 프리 캐스팅,gender free casting,"탈성별 배역, 탈성별 배역 선정"
17934,북 아트,book art,책 꾸밈
17933,긱 워커,gig worker,초단기 노동자
17932,은폐,隱蔽,"감춤, 감추는, 숨김, 숨기는, 숨기고, 덮음, 덮는"
17931,등재,登載,"목록에 있음, 목록에 있는"
17930,계도,啓導,"알림, 일깨움, 홍보"
17929,간선 도로,,주요 도로
17928,시운전,試運轉,시험 운전
17927,트래블 버블,travel bubble,"비격리 여행 권역, 여행 안전 권역"
17926,백 브리핑,back briefing,덧보고
17925,피버팅,pivoting,전략 급선회
17924,텔레 케어,tele care,원격 돌봄
17923,엘리베이터 피치,elevator pitch,요점 전달
17922,베이퍼웨어,vaporware,신기루 상품
17921,웰컴 키트,welcome kit,환영 꾸러미
17920,오픈 런 2,open run,"개장 질주, 개점 질주"
17919,오픈 런 1,open run,상시 공연
17918,리미티드 런,limited run,기간 한정 공연
17917,라이프 로그,life log,일상 정보
17916,온보딩,onboarding,적응 지원
17915,트래직 넘버,tragic number,패배 수
17914,매직 넘버,magic number,확정 승수
17913,소셜 섹터,social sector,"사회 기여 부문, 사회 기여 공동체"
17912,맥시멀리스트,maximalist,최대주의자
17911,맥시멀리즘,maximalism,최대주의
17910,에코티어링,ecoteering,생태 탐험
17909,태그리스,tagless,"비접촉식, 비접촉"
17908,에어 샤워,air shower,바람 세척
17907,소프트 스킬,soft skill,대인 관계 기술
17906,하드 스킬,hard skill,직무 기술
17905,보어 아웃,bore out,권태 증후군
17904,퍼네이션,funation,놀이형 기부
17903,드라이빙 가이드,driving guide,자가 운행 여행 안내(자)
17902,코드 커팅,cord cutting,유선 해지
17901,메가 리전,mega region,초거대 도시 연결권
17900,프롭테크,proptech,부동산 정보 기술
17899,버블 맵,bubble map,주제 그물
17898,스마트 폴,smart pole,지능형 기둥
17897,로컬택트,localtact,지역 울타리 활동
17896,브레인 포그,brain fog,뇌 흐림
17895,아쿠아포닉스,aquaponics,물고기 농법
17894,스몰 라이선스,small license,소규모 인허가
17893,스니즈 가드,sneeze guard,침방울 가림막
17892,클린 로드,clean road,도로 살수 장치
17891,블라인드 티켓,blind ticket,출연진 미공개 할인표
17890,엔(n)차 감염,n次 感染,"연쇄 감염, 연속 감염"
17889,트윈 데믹,twindemic,감염병 동시 유행
17888,바이오 월,bio wall,수직 정원
17887,홈 팜,home farm,가내 텃밭
17886,온택트,ontact,"영상 대면, 화상 대면"
17885,네트 제로,net zero,순 배출 영점화
17884,오픈 캠퍼스,open campus,기관-대학 협력 교육
17883,쿨 루프,cool roof,시원지붕
17882,그린 모빌리티,green mobility,"친환경 이동 수단, 친환경 교통수단"
17881,디지털 에이징,"digital aging, digital ageing",고령층 정보화
17880,에이징 테크,"aging tech, ageing tech",고령 맞춤 기술
17879,커뮤니티 매핑,community mapping,참여형 지도 제작
17878,멀티 커리어리즘,multi-careerism,겸업 현상
17877,스카이워크,skywalk,하늘 산책로
17876,위드 코로나 시대,with corona 時代,코로나 일상
17875,라키비움,larchiveum,복합 문화 공간
17874,케어 팜,care farm,치유 농장
17873,원루프 서비스,one-roof service,한 지붕 서비스
17872,코로나 블루,corona blue,코로나 우울
17871,오픈 액세스,open access,개방형 정보 열람 (서비스)
17870,라이프 라인,life line,생활 기반망
17869,네트 런처,net launcher,그물총
17868,챌린지,challenge,"참여 잇기, 도전 잇기"
17867,데이터 레이블링 / 데이터 레이블러,data labeling / data labeler,데이터 주석 / 데이터 주석자
17866,바이 소셜,buy social,상생 소비
17865,임팩트 투자,impact 投資,사회 가치 투자
17864,로컬 페어 트레이드,local fair trade,지역형 공정 무역
17863,스토리노믹스,storinomics,이야기 산업
17862,패닉 바잉,panic buying,공황 구매
17861,그린테일,greentail,친환경 유통
17860,지표 환자,指標患者,첫 확진자
17859,로 푸드,low food,저자극식
17858,스마트 셸터,smart shelter,복합 기능 쉼터
17857,키 비주얼,key visual,"핵심 그림, 핵심 장면"
17856,안심 스크린,安心 screen,안심 가림판
17855,코리빙 하우스,co-living house,공간 나눔 주택
17854,페이스 실드,face shield,얼굴 가림막
17853,미닝 아웃,meaning out,소신 소비
17852,헬스테크2,health tech,건강 기술
17851,헬스테크1,health tech,(노후) 건강 투자
17850,마스터 리스,master lease,재임대
17849,해커톤 토론,hackathon 討論,끝장 토론
17848,해커톤 (대회),hackathon 大會,끝장 개발 대회
17847,윈도 스루 검진,window through 檢診,투명창 검진
17846,풀링 검사,pooling 檢査,취합 (선별) 검사
17845,라스트 마일,last mile,최종 구간
17844,엔데믹,endemic,"(감염병) 주기적 유행, (감염병) 토착 유행, (감염병) 일상적 유행"
17843,갭 이어,gap year,채움 기간
17842,페티켓,petiquette,반려동물 공공 예절
17841,플랫폼 노동,platform 勞動,(온라인) 매개노동
17840,롱폼,long-form,"긴 영상, 긴 형식"
17839,쇼트폼,short-form,"짧은 영상, 짧은 형식"
17838,하드 파워,hard power,물리적 영향력
17837,소프트 파워,soft power,문화적 영향력
17836,언박싱,unboxing,개봉(기)
17835,소셜 믹스,social mix,어울 단지 (조성)
17834,소셜 미디어,social media,누리 소통 매체
17833,밀레니얼 세대,millennial 世代,새천년 세대
17832,킹메이커,kingmaker,"대권 인도자, 핵심 조력자"
17831,그래픽 노블,graphic novel,만화형 소설
17830,액티브 시니어,active senior,활동적 장년
17829,애자일 조직,agile 組織,탄력 조직
17828,웨비나,webinar,"화상 토론회, 화상 회의"
17827,뉴 노멀,new normal,"새 기준, 새 일상"
17826,월 패드,wall pad,통합 주택 제어판
17825,"다크 너지, 다크 넛지",dark nudge,함정 상술
17824,유니크 베뉴,unique venue,이색 지역 명소
17823,언택트 서비스,untact service,비대면 서비스
17822,모션 그래픽(스),motion graphic(s),동작 그래픽
17821,다크 웹,dark web,지하웹
17820,글러브 월,glove-wall,의료용 분리벽
17819,리테일 테크,retail tech,첨단 소매 유통 기술
17818,퍼펙트 스톰,perfect storm,초대형 경제 위기
17817,워킹 스루,walking through,"도보 이동형, 도보형"
17816,스카이라인,skyline,"하늘지붕선, 하늘선"
17815,바이오시밀러,biosimilar,동등 생물 의약품
17814,게리맨더링,gerrymandering,자의적 선거구 (획정)
17813,패닉 셀링,panic selling,공황 매도
17812,블라인드 펀드,blind fund,투자처 미특정 기금
17811,브이로그,vlog,영상 일기
17810,팬데믹,pandemic,(감염병) 세계적 유행
17809,에피데믹,epidemic,"(감염병) 유행, (감염병) 국가적 유행, (감염병) 다국가 유행, (감염병) 예상 밖 유행"
17808,스윙보터,swing voter,유동 투표층
17807,로고젝터,logojector,알림 조명
17806,코호트 격리,cohort 隔離,동일 집단 격리
17805,아트버스터,artbuster,흥행 예술작
17804,가스라이팅,gaslighting,심리(적) 지배
17803,인포데믹(스),Infodemic(s),악성 정보 확산
17802,폴리널리스트,polinalist,정치 참여 언론인
17801,빅텐트,big tent,"초당파 연합, 포괄 정당"
17800,멀티 페르소나,multi-persona,다면(적) 자아
17799,코드 인사,code 人事,"편향 인사, 성향 인사"
17798,미러 시트,mirror sheet,안심 거울
17797,라이브 커머스,live commerce,실시간 소통 판매
17796,펫팸족,petfam族,반려동물 돌봄족
17795,테마주,thema 株,화제주
17794,유니콘 기업,unicorn 企業,거대 신생 기업
17793,체크슈머,checksumer,꼼꼼 소비자
17792,리브랜딩,rebranding,상표 새 단장
17791,스피어 피싱,spear phishing,표적 온라인 사기
17790,슬로 푸드,slow food,"여유식, 느림 음식"
17789,신파일러,thin filer,금융 이력 부족자
17788,리커버,recover,새표지
17787,하프 오픈 톱,half open top,부분 개방형
17786,애니멀 호더,animal hoarder,동물 수집꾼
17785,다크패턴,dark pattern,눈속임 설계
17784,1코노미,1conomy,1인 경제
17783,콤팩트 시티,compact city,기능 집약 도시
17782,원포인트 회의,one-point 會議,단건 (집중) 회의
17781,제로웨이스트,zero waste,쓰레기 없애기
17780,필리버스터,filibuster,"합법적 의사진행 저지, 무제한 토론"
17779,앰비슈머,ambisumer,가치 소비자
17778,쇼트리스트,short list,최종 후보 명단
17777,게이트 키퍼,gate keeper,생명 지킴이
17776,딥페이크,deepfake,① (인공지능 기반) 첨단 조작 기술 ② 인공 지능 조작 영상
17775,소셜 디자이너,social designer,공동체 (혁신) 활동가
17774,베그패커,beg packer,구걸배낭족
17773,치팅 데이,cheating day,먹요일
17772,플로깅,plogging,쓰담 달리기
17771,스피드 팩토어,speed factore,잰맞춤 생산 (체계)
17770,머그샷 제도,mugshot 制度,피의자 사진 공개 제도
17769,플래터,platter,모둠 접시
17768,메일링 서비스,mailing service,전자 우편 서비스
17767,모디슈머,modisumer,응용 소비자
17766,밀키트,meal kit,바로 요리 세트
17765,화이트 리스트,white list,수출 심사 우대국
17764,뉴트로,newtro,신복고
17763,마이크로 미디어,micro media,개인 매체
17762,미스터리 쇼퍼,mystery shopper,비밀 평가원
17761,에어 커튼,air curtain,공기 커튼
17760,유니버설 디자인,universal design,범용 디자인
17759,커뮤니티 케어,community care,지역 사회 (통합) 돌봄
17758,팩트 체크,fact check,사실 확인
17757,제네릭,generic,복제약
17756,코스터,coaster,컵받침
17755,쓰키다시,つきだし,곁들이찬
17754,견출지,見出紙,"찾기 딱지, 분류 딱지"
17753,헤베,,제곱미터
17752,기렛파시,,"끄트러기, 자투리"
17751,식비,,밥값
17750,곤색,,"감청색, 감색"
17749,잔업,,시간 외 일
17748,분빠이,,"분배, 노늠, 노느매기"
17747,단도리,,"채비, 단속"
17746,플랜테리어,planterior,식물 인테리어
17745,플라스틱 어택,plastic attack,과대 포장 거부 운동
17744,클린 이팅,clean eating,자연식
17743,래핑 광고,wrapping 廣告,도배 광고
17742,그로서란트,grocerant,식재료 식당
17741,첨가하다,添加--,"더 넣다, 더 보태다"
17740,쓰나미,つなみ(일),지진 해일
17739,"비티오, BTO",build transfer operate(영),수익형 민자 사업
17738,가도,假渡,"임시 내줌, 임시 건넴"
17737,패스트 힐링,fast healing,자투리 휴식
17736,앵커 테넌트,anchor tenant,핵심 점포
17735,인포테인먼트,infotainment,정보 오락 프로그램
17734,리벤지 포르노,revenge porno,보복성 음란물
17733,플래그십 마케팅,flagship marketing,대표 상품 마케팅
17732,쿨링 오프,cooling off(영),계약 철회 보증 (제도)
17731,오버 투어리즘,over tourism,관광객 과잉
17730,에어 서큘레이터,air circulator,공기 순환기
17729,세컨더리 보이콧,secondary boycott(영),제3자 제재
17728,세이프 가드,safe guard(영),긴급 수입 제한 (조치)
17727,메이커 스페이스,maker space(영),열린 제작실
17726,트랜스 미디어,trans media,매체 융합
17725,키스 앤드 라이드,kiss and ride,환승 정차 구역
17724,주니어 보드,junior board(영),청년 중역 회의
17723,워킹 그룹,working group(영),실무단
17722,스튜어드십 코드,stewardship code(영),의결권 행사 지침
17721,모듈러 주택,modular 住宅,조립식 주택
17720,디지털 사이니지,digital signage,전자 광고판
17719,흘수선,吃水線,"흘수선, 잠김선"
17718,휴테크,休tech(영),"여가 활용 기술, 여가 활용 방법"
17717,"휴대폰, 핸드폰",携帶phone(영),휴대 전화
17716,횡풍 주의,橫風,옆바람 주의
17715,"횡진, 전선 횡진",橫振,"흔들림, 전선 흔들림"
17714,황천,荒天,"거친 바다, 거친 날씨"
17713,환가,換價,"가치 환산, 값어치, 환산 가액, 환산 값어치"
17712,확폭,擴幅,폭 넓히기
17711,홈헬퍼,home helper(영),"가사 도우미, 가정 도우미"
17710,홈스테이,homestay(영),"가정 체험, 가정집묵기"
17709,홈 네트워크,home network(영),홈 네트워크
17708,혼스피커,horn loud speaker(영),나팔 스피커
17707,호안,護岸,"기슭 보호, 둑 보호"
17706,호안,護岸,"호안, 해안 보호둑, 하안 보호둑"
17705,허브항,"--港, Hub Port(영)",중심축 항만
17704,핸드레일,handrail,안전 손잡이
17703,해태하다,懈怠--,"게을리하다, 제때 하지 않다"
17702,해중림,海中林,바다숲
17701,해조류,藻類,바닷말류
17700,항만국 통제,港灣國統制,입항국 통제
17699,한류,限流,전류 제한
17698,하주,荷主,"화주, 화물주"
17697,하절기,夏節期,여름철
17696,하이파이브,high five(영),손뼉맞장구
17695,하이브리드,hybrid(영),혼합형
17694,필증,畢證,확인증 / 증명서
17693,"피피에이, PPA",PPA(Power Purchase Agreement(영)),전력 구입 계약
17692,피티,PT(Potential Transformer(영)),전압 변성기
17691,피크 기간,peak(영) 期間,"집중 기간, 절정 기간"
17690,피켓,picket,"팻말, 손팻말"
17689,"피엘시, PLC",PLC(Power Line Communication(영)),전력선 통신
17688,"피엘 상품, PL 상품",private label(영)商品,자체 기획 상품
17687,피에프디,PFD: Process Flow Diagram,공정 흐름도
17686,피앤드아이디,P&ID:Piping & Instrumentation Diagram,배관 설비 도면
17685,"피시에스, PCS",PCS(Power Conditioning System(영)),전력 조절 장치
17684,피디에이,PDA(←personal digital assitance(영)),개인 휴대용 단말기
17683,"피더, Feeder",Feeder(영),배전 회선
17682,플리 바기닝,plea bargaining(영),"자백감형제, 자백감형제도"
17681,플러싱,flushing,(관) 세척
17680,플러그 앤 플레이,Plug & Play(영),"바로 사용, 플러그 앤 플레이"
17679,플라모델,plamodel/plastic model(영),"조립모형, 조립장난감"
17678,프로필,profile(영),"인물 소개, 약력"
17677,프로슈머,prosumer(←producer+consumer(영)),참여형 소비자
17676,"프레 콘서트, 프레콘서트",pre-concert(영),사전 공연 / 사전 연주회
17675,프라임 시간대,prime(영)-時間帶,"황금 시간대, 주시청 시간대"
17674,풍도,風道,공기 통로
17673,포토존,photo zone(영),"사진 촬영 구역, 촬영 구역, 사진 찍는 곳"
17672,포스트잇,post-it(영),붙임쪽지
17671,"포설하다, 포설",鋪設--,"깔다, 깔기"
17670,포맷,format(영),"양식, 서식, 형식"
17669,폐로,閉路,닫힌회로
17668,편성,"編成, train set","① 열차 편성, ② 열차, ③ 대"
17667,펜네임,pen name(영),필명
17666,페스티벌,festival(영),"축전, 축제"
17665,펀드,fund(영),"기금, 자금"
17664,퍼블리시티권,publicity(영)權,인격 표지권
